event_type,start_s,end_s,duration_s,mean_speed_kmh,mean_power_w,peak_power_w
hard_accel,1609.5,1610.79,1.2899999999999636,50.23076923076923,16222.280461538461,17875.2
hard_accel,1992.46,1993.29,0.8299999999999272,45.214285714285715,15368.640476190474,17543.68
hard_accel,2115.83,2116.39,0.5599999999999454,45.40350877192982,14810.2249122807,16428.46
hard_accel,2127.46,2128.6,1.1399999999998727,49.47826086956522,13688.884869565216,19230.75
hard_accel,2128.62,2129.49,0.8699999999998909,57.29545454545455,15530.53977272727,17513.46
hard_accel,2137.17,2139.49,2.319999999999709,51.48927038626609,17025.222789699572,20457.54
hard_accel,2176.77,2177.29,0.5199999999999818,40.39622641509434,13196.16433962264,13990.23
hard_accel,2219.53,2221.79,2.2599999999997635,52.11453744493392,17156.038061674008,21004.12
hard_accel,2237.15,2240.59,3.4400000000000546,65.53623188405797,21718.361623188404,27110.72
hard_accel,2253.21,2254.29,1.0799999999999272,46.85321100917431,15919.037247706423,17900.11
hard_accel,2258.33,2259.19,0.8600000000001273,44.827586206896555,14826.018620689654,15831.72
hard_accel,2263.61,2266.19,2.5799999999999272,54.745173745173744,17911.105598455597,29611.17
hard_accel,2278.0,2280.59,2.5900000000001455,50.15384615384615,16870.393999999997,21938.56
hard_accel,2301.34,2303.69,2.349999999999909,53.220338983050844,17791.529788135595,23021.4
hard_accel,2358.16,2360.39,2.230000000000018,50.30357142857143,16862.09732142857,21173.6
hard_accel,2375.76,2378.59,2.8299999999999272,64.03521126760563,21083.27545774648,25643.01
hard_accel,2403.4,2405.59,2.1900000000000546,50.04545454545455,16862.090409090913,29630.7
hard_accel,2405.61,2406.79,1.1799999999998363,67.3781512605042,22320.75831932772,35461.13
hard_accel,2413.68,2415.69,2.0100000000002183,48.0,16115.306336633663,19889.76
hard_accel,2436.92,2439.39,2.4699999999998,53.71774193548387,17758.668467741936,22416.0
hard_accel,2496.28,2498.79,2.5099999999997635,53.976190476190474,17947.3271031746,22548.35
hard_accel,2513.04,2515.89,2.849999999999909,64.84615384615384,21400.23716783217,26241.4
hard_accel,2528.55,2529.69,1.1399999999998727,44.82608695652174,15167.70956521739,17869.94
hard_accel,2539.39,2543.09,3.700000000000273,55.35309973045822,18442.56167115903,30639.4
hard_accel,2549.96,2551.19,1.2300000000000182,47.61290322580645,15517.617096774195,17794.4
hard_accel,2573.01,2575.79,2.7799999999997453,52.51971326164875,17517.47795698925,22527.3
hard_accel,2614.6,2615.29,0.6900000000000546,48.142857142857146,15813.913857142854,19193.16
hard_accel,2630.81,2633.99,3.1799999999998363,55.23824451410658,18405.238463949845,23425.74
hard_accel,2648.04,2649.49,1.449999999999818,53.082191780821915,17732.60582191781,20372.0
hard_accel,2650.4,2651.59,1.1900000000000546,70.5,20878.851749999998,25424.0
hard_accel,2663.83,2664.89,1.0599999999999454,44.373831775700936,14752.813925233646,16244.62
hard_accel,2674.39,2678.29,3.900000000000091,57.107416879795394,18999.602122762146,28331.52
hard_accel,2684.49,2687.29,2.800000000000182,53.56583629893238,17972.227651245554,23383.68
hard_accel,2707.06,2709.89,2.8299999999999272,52.65492957746479,17589.552746478876,22739.5
hard_accel,2727.79,2728.59,0.8000000000001819,40.925925925925924,13837.99,15504.4
hard_accel,2747.58,2748.49,0.9099999999998545,48.08695652173913,15666.151304347824,18992.4
hard_accel,2784.64,2787.79,3.150000000000091,64.87341772151899,21428.61170886076,26817.3
hard_accel,2811.15,2813.14,1.9899999999997817,51.05,17069.9387,31439.09
hard_accel,2813.16,2814.59,1.430000000000291,68.66666666666667,21484.784305555557,25398.0
hard_accel,2821.5,2824.09,2.5900000000001455,52.03846153846154,17411.76426923077,22318.35
hard_accel,2844.56,2847.39,2.8299999999999272,52.30281690140845,15840.497746478872,18522.0
hard_accel,2883.2,2884.29,1.0900000000001455,48.36363636363637,16184.025454545455,19293.47
hard_accel,2899.02,2902.49,3.4699999999998,55.61494252873563,18522.750977011496,24133.78
hard_accel,2911.85,2912.39,0.5399999999999636,45.36363636363637,14190.037090909087,15342.55
hard_accel,2913.77,2914.49,0.7199999999997999,48.465753424657535,13885.732465753425,15763.24
hard_accel,2915.33,2918.89,3.5599999999999454,67.2016806722689,22207.99862745098,27612.42
hard_accel,2930.17,2931.59,1.4200000000000728,46.35664335664335,15386.615804195804,17828.94
hard_accel,2940.37,2944.09,3.7200000000002547,60.31367292225201,19922.77128686327,36464.04
hard_accel,2950.02,2953.09,3.0700000000001637,54.33116883116883,18263.77051948052,24939.54
hard_accel,2957.02,2957.59,0.5700000000001637,40.10344827586207,13492.363275862068,15149.24
hard_accel,2972.73,2975.59,2.8600000000001273,56.08710801393728,18547.233449477353,23445.44
hard_accel,2987.06,2987.59,0.5300000000002001,41.96296296296296,13814.006666666668,15486.03
hard_accel,2990.86,2991.79,0.9299999999998363,43.08510638297872,14530.239893617021,16735.14
